node,date,betweenness_centrality_count,betweenness_centrality_volume
KNC,2020/6/5,0,0
ANT,2020/6/5,0,0
LEND,2020/6/5,0,0
DZAR,2020/6/5,0,0
LRC,2020/6/5,0,0
WBTC,2020/6/5,0,0
sXAU,2020/6/5,0,0
LINK,2020/6/5,0,0
RPL,2020/6/5,0,0
USDT,2020/6/5,0,0
REN,2020/6/5,0,0
UMA,2020/6/5,0,0
REP,2020/6/5,0,0
BAT,2020/6/5,0,0
MKR,2020/6/5,0,0
UBT,2020/6/5,0,0
AMPL,2020/6/5,0,0
WETH,2020/6/6,0.056829511,0.05174494
USDC,2020/6/6,0.037886341,0.018809525
AMPL,2020/6/6,0,0
LRC,2020/6/6,0,0
LEND,2020/6/6,0,0
LINK,2020/6/6,0,0
UMA,2020/6/6,0,0
WBTC,2020/6/6,0,0
RPL,2020/6/6,0,0
MKR,2020/6/6,0,0
DZAR,2020/6/6,0,0
USDT,2020/6/6,0,0
REN,2020/6/6,0,0
BAT,2020/6/6,0,0
DAI,2020/6/6,0,0
KNC,2020/6/6,0,0
sXAU,2020/6/6,0,0
REP,2020/6/6,0,0
UBT,2020/6/6,0,0
ANT,2020/6/6,0,0
WETH,2020/6/7,0.043554007,0.032906313
USDC,2020/6/7,0.024390244,0.015717597
sXAU,2020/6/7,0,0
DZAR,2020/6/7,0,0
WBTC,2020/6/7,0,0
KNC,2020/6/7,0,0
LEND,2020/6/7,0,0
LRC,2020/6/7,0,0
REN,2020/6/7,0,0
LINK,2020/6/7,0,0
REP,2020/6/7,0,0
RPL,2020/6/7,0,0
AMPL,2020/6/7,0,0
UMA,2020/6/7,0,0
BAT,2020/6/7,0,0
MKR,2020/6/7,0,0
USDT,2020/6/7,0,0
UBT,2020/6/7,0,0
DAI,2020/6/7,0,0
ANT,2020/6/7,0,0
WETH,2020/6/8,0.059820538,0.027716453
USDC,2020/6/8,0.022931206,0.007372867
REN,2020/6/8,0,0
sXAU,2020/6/8,0,0
AMPL,2020/6/8,0,0
LEND,2020/6/8,0,0
UMA,2020/6/8,0,0
DZAR,2020/6/8,0,0
USDT,2020/6/8,0,0
REP,2020/6/8,0,0
KNC,2020/6/8,0,0
DAI,2020/6/8,0,0
UBT,2020/6/8,0,0
WBTC,2020/6/8,0,0
RPL,2020/6/8,0,0
LRC,2020/6/8,0,0
LINK,2020/6/8,0,0
MKR,2020/6/8,0,0
BAT,2020/6/8,0,0
ANT,2020/6/8,0,0
WETH,2020/6/9,0.071566731,0.039935618
USDC,2020/6/9,0.015473888,0.002570885
RPL,2020/6/9,0,0
ANT,2020/6/9,0,0
DZAR,2020/6/9,0,0
LEND,2020/6/9,0,0
LRC,2020/6/9,0,0
UMA,2020/6/9,0,0
AMPL,2020/6/9,0,0
USDT,2020/6/9,0,0
UBT,2020/6/9,0,0
DAI,2020/6/9,0,0
MKR,2020/6/9,0,0
WBTC,2020/6/9,0,0
LINK,2020/6/9,0,0
REN,2020/6/9,0,0
BAT,2020/6/9,0,0
REP,2020/6/9,0,0
KNC,2020/6/9,0,0
sXAU,2020/6/9,0,0
WETH,2020/6/10,0.067114094,0.041467655
USDC,2020/6/10,0.010738255,0.00641345
WBTC,2020/6/10,0,0
sXAU,2020/6/10,0,0
UMA,2020/6/10,0,0
REP,2020/6/10,0,0
AMPL,2020/6/10,0,0
LRC,2020/6/10,0,0
DMG,2020/6/10,0,0
RPL,2020/6/10,0,0
USDT,2020/6/10,0,0
DZAR,2020/6/10,0,0
LINK,2020/6/10,0,0
UBT,2020/6/10,0,0
BAT,2020/6/10,0,0
MKR,2020/6/10,0,0
KNC,2020/6/10,0,0
DAI,2020/6/10,0,0
REN,2020/6/10,0,0
LEND,2020/6/10,0,0
ANT,2020/6/10,0,0
WETH,2020/6/11,0.064906491,0.025140275
USDC,2020/6/11,0.012467913,0.003702037
WBTC,2020/6/11,0,0
sXAU,2020/6/11,0,0
LINK,2020/6/11,0,0
ANT,2020/6/11,0,0
REP,2020/6/11,0,0
USDT,2020/6/11,0,0
AMPL,2020/6/11,0,0
BAT,2020/6/11,0,0
LEND,2020/6/11,0,0
DZAR,2020/6/11,0,0
KNC,2020/6/11,0,0
RPL,2020/6/11,0,0
UBT,2020/6/11,0,0
DAI,2020/6/11,0,0
REN,2020/6/11,0,0
LRC,2020/6/11,0,0
MKR,2020/6/11,0,0
DMG,2020/6/11,0,0
UMA,2020/6/11,0,0
WETH,2020/6/12,0.083912612,0.062989479
USDC,2020/6/12,0.01489573,0.008786186
DZAR,2020/6/12,0.000496524,5.96E-05
BAT,2020/6/12,0,0
AMPL,2020/6/12,0,0
ANT,2020/6/12,0,0
UMA,2020/6/12,0,0
WBTC,2020/6/12,0,0
USDT,2020/6/12,0,0
LEND,2020/6/12,0,0
RPL,2020/6/12,0,0
DMG,2020/6/12,0,0
MKR,2020/6/12,0,0
KNC,2020/6/12,0,0
UBT,2020/6/12,0,0
LINK,2020/6/12,0,0
REN,2020/6/12,0,0
DAI,2020/6/12,0,0
REP,2020/6/12,0,0
LRC,2020/6/12,0,0
sXAU,2020/6/12,0,0
WETH,2020/6/13,0.063858696,0.037414835
USDC,2020/6/13,0.03125,0.018149076
REN,2020/6/13,0,0
USDT,2020/6/13,0,0
ANT,2020/6/13,0,0
DZAR,2020/6/13,0,0
UMA,2020/6/13,0,0
RPL,2020/6/13,0,0
WBTC,2020/6/13,0,0
AMPL,2020/6/13,0,0
MKR,2020/6/13,0,0
REP,2020/6/13,0,0
LINK,2020/6/13,0,0
DAI,2020/6/13,0,0
BAT,2020/6/13,0,0
LRC,2020/6/13,0,0
UBT,2020/6/13,0,0
KNC,2020/6/13,0,0
LEND,2020/6/13,0,0
DMG,2020/6/13,0,0
sXAU,2020/6/13,0,0
WETH,2020/6/14,0.086666667,0.048931213
USDC,2020/6/14,0.020606061,0.009069194
sXAU,2020/6/14,0,0
DZAR,2020/6/14,0,0
RPL,2020/6/14,0,0
AMPL,2020/6/14,0,0
MKR,2020/6/14,0,0
LRC,2020/6/14,0,0
REN,2020/6/14,0,0
BAT,2020/6/14,0,0
USDT,2020/6/14,0,0
DAI,2020/6/14,0,0
LINK,2020/6/14,0,0
WBTC,2020/6/14,0,0
DMG,2020/6/14,0,0
REP,2020/6/14,0,0
KNC,2020/6/14,0,0
ANT,2020/6/14,0,0
LEND,2020/6/14,0,0
UBT,2020/6/14,0,0
UMA,2020/6/14,0,0
WETH,2020/6/15,0.088360539,0.031014627
USDC,2020/6/15,0.027679205,0.013574609
UBT,2020/6/15,0,0
COMP,2020/6/15,0,0
UMA,2020/6/15,0,0
sXAU,2020/6/15,0,0
DZAR,2020/6/15,0,0
AMPL,2020/6/15,0,0
LEND,2020/6/15,0,0
LRC,2020/6/15,0,0
REP,2020/6/15,0,0
MKR,2020/6/15,0,0
DMG,2020/6/15,0,0
KNC,2020/6/15,0,0
RPL,2020/6/15,0,0
REN,2020/6/15,0,0
USDT,2020/6/15,0,0
WBTC,2020/6/15,0,0
LINK,2020/6/15,0,0
DAI,2020/6/15,0,0
BAT,2020/6/15,0,0
ANT,2020/6/15,0,0
WETH,2020/6/16,0.100401606,0.057677077
USDC,2020/6/16,0.040495315,0.031172863
RPL,2020/6/16,0,0
DMG,2020/6/16,0,0
UMA,2020/6/16,0,0
ANT,2020/6/16,0,0
DZAR,2020/6/16,0,0
AMPL,2020/6/16,0,0
LINK,2020/6/16,0,0
LRC,2020/6/16,0,0
WBTC,2020/6/16,0,0
BAT,2020/6/16,0,0
REN,2020/6/16,0,0
KNC,2020/6/16,0,0
LEND,2020/6/16,0,0
MKR,2020/6/16,0,0
USDT,2020/6/16,0,0
UBT,2020/6/16,0,0
DAI,2020/6/16,0,0
COMP,2020/6/16,0,0
REP,2020/6/16,0,0
sXAU,2020/6/16,0,0
WETH,2020/6/17,0.101663006,0.060862685
USDC,2020/6/17,0.041418262,0.035307675
COMP,2020/6/17,0,0
DMG,2020/6/17,0,0
DZAR,2020/6/17,0,0
AMPL,2020/6/17,0,0
REP,2020/6/17,0,0
LRC,2020/6/17,0,0
ANT,2020/6/17,0,0
RPL,2020/6/17,0,0
LEND,2020/6/17,0,0
UBT,2020/6/17,0,0
BAT,2020/6/17,0,0
USDT,2020/6/17,0,0
UMA,2020/6/17,0,0
LINK,2020/6/17,0,0
WBTC,2020/6/17,0,0
REN,2020/6/17,0,0
MKR,2020/6/17,0,0
DAI,2020/6/17,0,0
KNC,2020/6/17,0,0
HXY,2020/6/17,0,0
WETH,2020/6/18,0.094537001,0.05278683
USDC,2020/6/18,0.034676482,0.027184458
DMG,2020/6/18,0,0
REP,2020/6/18,0,0
DZAR,2020/6/18,0,0
ANT,2020/6/18,0,0
UMA,2020/6/18,0,0
MKR,2020/6/18,0,0
BAT,2020/6/18,0,0
LEND,2020/6/18,0,0
RPL,2020/6/18,0,0
KNC,2020/6/18,0,0
WBTC,2020/6/18,0,0
LRC,2020/6/18,0,0
LINK,2020/6/18,0,0
DAI,2020/6/18,0,0
HXY,2020/6/18,0,0
UBT,2020/6/18,0,0
REN,2020/6/18,0,0
USDT,2020/6/18,0,0
COMP,2020/6/18,0,0
AMPL,2020/6/18,0,0
sXAU,2020/6/18,0,0
WETH,2020/6/19,0.086929428,0.072502414
USDC,2020/6/19,0.028353326,0.019837051
sXAU,2020/6/19,0,0
AMPL,2020/6/19,0,0
DZAR,2020/6/19,0,0
WBTC,2020/6/19,0,0
RPL,2020/6/19,0,0
LRC,2020/6/19,0,0
BAT,2020/6/19,0,0
USDT,2020/6/19,0,0
MKR,2020/6/19,0,0
UBT,2020/6/19,0,0
UMA,2020/6/19,0,0
DMG,2020/6/19,0,0
REN,2020/6/19,0,0
DAI,2020/6/19,0,0
HXY,2020/6/19,0,0
KNC,2020/6/19,0,0
LINK,2020/6/19,0,0
COMP,2020/6/19,0,0
LEND,2020/6/19,0,0
REP,2020/6/19,0,0
ANT,2020/6/19,0,0
WETH,2020/6/20,0.096290051,0.068301899
USDC,2020/6/20,0.02529511,0.013557816
DZAR,2020/6/20,0.000168634,2.23E-05
LEND,2020/6/20,0,0
WBTC,2020/6/20,0,0
sXAU,2020/6/20,0,0
AMPL,2020/6/20,0,0
ANT,2020/6/20,0,0
LRC,2020/6/20,0,0
BAT,2020/6/20,0,0
MKR,2020/6/20,0,0
UBT,2020/6/20,0,0
USDT,2020/6/20,0,0
KNC,2020/6/20,0,0
HXY,2020/6/20,0,0
DMG,2020/6/20,0,0
REP,2020/6/20,0,0
DAI,2020/6/20,0,0
LINK,2020/6/20,0,0
COMP,2020/6/20,0,0
RPL,2020/6/20,0,0
REN,2020/6/20,0,0
UMA,2020/6/20,0,0
WETH,2020/6/21,0.114090687,0.085856664
USDC,2020/6/21,0.025719161,0.019664046
DMG,2020/6/21,0,0
KNC,2020/6/21,0,0
DZAR,2020/6/21,0,0
AMPL,2020/6/21,0,0
sXAU,2020/6/21,0,0
ANT,2020/6/21,0,0
RPL,2020/6/21,0,0
MKR,2020/6/21,0,0
UBT,2020/6/21,0,0
LEND,2020/6/21,0,0
LRC,2020/6/21,0,0
REP,2020/6/21,0,0
HXY,2020/6/21,0,0
DAI,2020/6/21,0,0
LINK,2020/6/21,0,0
USDT,2020/6/21,0,0
BAT,2020/6/21,0,0
REN,2020/6/21,0,0
COMP,2020/6/21,0,0
WBTC,2020/6/21,0,0
UMA,2020/6/21,0,0
WETH,2020/6/22,0.127276448,0.120561129
USDC,2020/6/22,0.017290771,0.012894332
COMP,2020/6/22,0,0
HXY,2020/6/22,0,0
UMA,2020/6/22,0,0
DZAR,2020/6/22,0,0
ANT,2020/6/22,0,0
MKR,2020/6/22,0,0
KNC,2020/6/22,0,0
UBT,2020/6/22,0,0
RPL,2020/6/22,0,0
REP,2020/6/22,0,0
BAT,2020/6/22,0,0
USDT,2020/6/22,0,0
WBTC,2020/6/22,0,0
REN,2020/6/22,0,0
LINK,2020/6/22,0,0
AMPL,2020/6/22,0,0
DAI,2020/6/22,0,0
