,token,total_tvl,stable,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,785811634.9994754,1,0.686631259150557,590735250.3859587,304052701.0395118,286682549.3464468
1,FEI,13121295.005835414,1,0.010804652716662793,9395314.497813404,3964928.4250670513,5430386.072746352
2,UST,1793817.796442461,1,0.0020746621142209327,2462238.406571148,1064149.548786811,1398088.857784337
3,USDT,332760060.19273764,1,0.17316745462447872,132396674.53350249,66553319.73960353,65843354.79389896
4,EURS,13213990.744440798,1,0.002108631299682925,2733862.21074,773793.69771,1960068.51303
5,DAI,216508773.32472292,1,0.10389274872940876,77940860.6461334,42909893.35096529,35030967.29516811
6,TRU,2378558.477691827,0,0.001774871667614238,1426833.562168971,656164.1954660497,770669.3667029212
7,TRIBE,897526.4965328026,0,0.0005982114141147273,401790.15442358877,221156.7846980069,180633.36972558184
8,GTC,2916219.8742955606,0,0.0007975495149424615,630540.2737840924,294851.42242425354,335688.8513598388
9,RUNE,2746865.688834612,0,0.0011449480526025961,866947.3795479327,423283.5147998478,443663.8647480849
10,NEXO,718929.5909928492,0,0.0010835457981780748,846000.1044960403,400583.3040694224,445416.80042661785
11,wNXM,4672339.324173369,0,0.0028931309671212857,4385931.071995033,1069580.9663640503,3316350.105630983
12,WOO,590367.0306072945,0,0.0011752524133871152,891112.7332447248,434486.936926681,456625.7963180438
13,AAVE,3383915.631083985,0,0.001736168761467637,1138926.7903168618,641855.8588481003,497070.9314687616
14,WBTC,189486023.0953093,0,0.1474958857215335,107052752.4553964,54339476.41998616,52713276.03541024
15,YFI,4538132.982254454,0,0.0019353725735539256,1866810.363539495,715500.8504699748,1151309.5130695202
16,ERN,2086115.6328629984,0,0.0008288525571088203,679176.3700269134,306424.053760641,372752.31626627233
17,SLP,1135857.983804867,0,0.0013743420897227871,1051150.6071340456,508089.7329384063,543060.8741956392
18,WDOGE,9373888.804281164,0,0.0021380855593074034,3162406.860898187,790443.1720104584,2371963.6888877284
19,PERP,5905781.735196437,0,0.0018231914515223393,1360334.997119727,674027.8600405774,686307.1370791498
20,RAI,5500245.551023636,0,0.0033445288673834466,3550447.829820144,1721709.9038219196,1828737.9259982246
21,COMP,7641282.0809950195,0,0.00420860903583477,2984132.282036511,1555908.8650852228,1428223.4169512885
22,1INCH,3011049.450309305,0,0.005125183036552822,3888700.341051558,1894763.2469204448,1993937.0941311133
23,QNT,1596273.7079435529,0,0.006803639321123943,5226703.828606974,2515282.993607798,2711420.8349991767
24,MKR,13340186.57515961,0,0.0033869789368211395,1779681.4757421047,1252154.9302361603,527526.5455059444
25,LEASH,4193551.565585356,0,0.002407890772771473,1874189.7416880704,890189.2686187386,984000.4730693316
26,ETH2x-FLI,8269100.039865542,0,0.005389847675872919,4196102.838076917,1992608.8902402257,2203493.947836692
27,SHIB,12298025.565080749,0,0.006979753661054664,5614657.201316005,2580391.883607707,3034265.317708298
28,HEX,7779673.935746174,0,0.006778629225868457,4933095.54617537,2497246.3448650413,2435849.201310329
29,WETH,900887444.5779268,0,0.6815575584141604,766915120.5741076,376901168.6987925,390013951.8753151
30,MATIC,6691460.676552199,0,0.007343072897247767,6073352.584482548,2714709.8056659447,3358642.778816603
31,CEL,8830106.513377873,0,0.007134479711550725,5542534.889287138,2637593.593620833,2904941.295666305
32,UNI,51253970.434300505,0,0.015837311702621537,14363946.888605636,5855001.846789368,8508945.041816268
33,LINK,30222123.9607756,0,0.026890074230789568,23084595.712432798,9941171.66081382,13143424.051618978
34,CRV,1946212.57473102,0,0.0009158247004882325,714204.2120535579,338577.3680141816,375626.8440393763
